,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
0,Honda Jazz V,Chennai,2011,46000,1,1,1,13.0,1199.0,88.7,5,861000,450000
1,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,2,2,1,11.36,2755.0,171.5,8,2100000,1750000
2,Maruti Ciaz Zeta,Kochi,2018,25692,1,1,1,21.56,1462.0,103.25,5,1065000,994999
3,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,2,1,1,13.5,2477.0,175.56,7,3201000,1500000
4,BMW 3 Series 320d,Kochi,2014,32982,2,2,1,22.69,1995.0,190.0,5,4787000,1855000
5,Honda WRV i-VTEC VX,Kochi,2018,37430,1,1,1,17.5,1199.0,88.7,5,1057000,990000
6,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,1,1,2,16.09,1598.0,103.5,5,1233000,698000
7,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,2,1,1,24.3,1248.0,88.5,5,1112000,863000
8,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,1,2,1,14.62,1999.0,149.92,5,2364000,885000
9,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,1,1,1,11.25,2694.0,163.7,7,1864000,1095000
10,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,2,1,1,13.68,2393.0,147.8,8,1934000,1650000
11,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,2,2,1,0.0,1950.0,194.0,5,4914000,3567000
12,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,2,1,1,22.1,1396.0,88.7,5,1181000,1050000
13,Nissan Terrano XV D Pre,Kochi,2015,56066,2,1,1,19.64,1461.0,108.5,5,1664999,692000
14,Tata Zest Revotron 1.2T XE,Pune,2017,70000,1,1,1,17.57,1193.0,88.7,5,667000,450000
15,Datsun GO Plus T Petrol,Pune,2017,32851,1,1,1,19.83,1198.0,67.0,7,645000,395000
16,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,1,1,1,17.71,1197.0,78.9,5,641000,390000
17,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,2,2,1,11.36,2755.0,171.5,7,2700000,1925000
18,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,1,1,1,15.1,1196.0,73.0,5,513000,391000
19,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,2,2,1,22.69,1995.0,190.0,5,5443000,2075000
20,Nissan Micra XV CVT,Coimbatore,2016,39882,1,2,1,19.15,1198.0,75.94,5,951000,655000
21,Maruti Vitara Brezza VDi,Mumbai,2016,55000,2,1,1,24.3,1248.0,88.5,5,996000,750000
22,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,2,1,1,22.0,1582.0,126.2,5,1444000,1095000
23,Maruti Alto K10 VXI,Hyderabad,2014,88500,1,1,1,24.07,998.0,67.1,5,453000,260000
24,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,1,2,1,19.0,2996.0,362.07,2,9504000,5400000
25,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,1,2,1,17.0,1591.0,121.3,5,1349000,1150000
26,BMW 3 Series Luxury Line,Mumbai,2014,48000,2,2,1,21.76,1995.0,190.0,5,6088000,2650000
27,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,1,1,1,18.9,1197.0,81.86,5,739000,650000
28,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,2,2,1,22.48,1995.0,190.0,5,6947000,3350000
29,Maruti Baleno Alpha,Kochi,2017,24773,1,1,1,21.4,1197.0,83.1,5,877999,750000
30,Maruti Ertiga ZDI,Mumbai,2016,33000,2,1,1,25.47,1248.0,88.5,7,1274000,850000
31,Mahindra NuvoSport N6,Chennai,2017,29000,2,1,2,17.45,1493.0,100.0,7,1052000,650000
32,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,2,1,1,24.3,1248.0,88.5,5,1198000,900000
33,Honda Amaze S Diesel,Kolkata,2013,45000,2,1,1,27.4,1498.0,98.6,5,853999,325000
34,Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,26000,1,2,1,14.67,1798.0,177.46,5,3358000,2600000
35,Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,107000,2,1,1,21.03,1461.0,65.0,5,911999,370000
36,Maruti Wagon R VXI,Kolkata,2013,32000,1,1,1,22.5,998.0,67.04,5,529000,265000
37,Mini Cooper Convertible S,Kochi,2017,26327,1,2,1,16.82,1998.0,189.08,4,4428000,3567000
38,Toyota Innova Crysta 2.8 GX AT,Kochi,2019,14165,2,2,1,11.36,2755.0,171.5,7,2073999,1964000
39,Honda City i-VTEC V,Kolkata,2011,32572,1,1,1,17.4,1497.0,117.3,5,1174000,387000
40,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43000,2,1,1,13.68,2393.0,147.8,7,2552000,1864999
41,Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,143275,2,1,1,22.0,1582.0,126.2,5,1407000,260000
42,Mercedes-Benz GLE 350d,Coimbatore,2017,29819,2,2,1,11.57,2987.0,254.79,5,9513000,6129000
43,Tata Zest Quadrajet 1.3 75PS XE,Pune,2017,121900,2,1,1,22.95,1248.0,74.0,5,834000,375000
44,Tata Zest Quadrajet 1.3 75PS XE,Pune,2018,45000,2,1,1,22.95,1248.0,74.0,5,834000,525000
45,Honda Jazz VX,Delhi,2015,62178,1,1,1,18.2,1199.0,88.7,5,885000,484999
46,Toyota Innova Crysta 2.4 ZX MT,Chennai,2016,48000,2,1,1,13.68,2393.0,147.8,7,2540000,2025000
47,Honda City i-VTEC CVT ZX,Mumbai,2017,15000,1,2,1,18.0,1497.0,117.3,5,1667000,1269000
48,Mercedes-Benz GLE 250d,Hyderabad,2017,29000,2,2,1,17.9,2143.0,201.15,5,7943000,5700000
49,Honda Brio 1.2 VX MT,Kochi,2012,91931,1,1,1,18.5,1198.0,86.8,5,662000,313000
50,Maruti Vitara Brezza LDi,Chennai,2016,45000,2,1,1,24.3,1248.0,88.5,5,911999,715000
51,BMW 3 Series Luxury Line,Kochi,2015,30717,2,2,2,21.76,1995.0,190.0,5,5867000,2599000
52,Maruti Alto K10 VXI,Pune,2017,30000,1,1,1,24.07,998.0,67.1,5,448000,375000
53,Jaguar XF 2.0 Diesel Portfolio,Hyderabad,2017,21000,2,2,1,19.33,1999.0,177.0,5,7264000,5200000
54,Skoda Superb L&K 1.8 TSI AT,Kochi,2019,13747,1,2,1,14.67,1798.0,177.46,5,3615000,2730000
55,Mini Clubman Cooper S,Pune,2017,8350,1,1,1,13.8,1998.0,192.0,5,4459000,3500000
56,Maruti Vitara Brezza ZDi Plus,Hyderabad,2017,39000,2,1,1,24.3,1248.0,88.5,5,1200000,949000
57,Honda BRV i-VTEC V CVT,Kochi,2017,35676,1,2,1,16.0,1497.0,117.3,7,1465000,948000
58,Jaguar XE Portfolio,Mumbai,2017,9000,1,2,1,13.5,1999.0,246.74,5,5372000,3450000
59,Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop,Hyderabad,2018,12000,2,2,1,13.5,2477.0,175.56,7,3390999,2800000
60,BMW 3 Series Luxury Line,Mumbai,2015,41000,2,2,1,21.76,1995.0,190.0,5,6088000,2550000
61,Honda BR-V i-VTEC S MT,Pune,2017,9000,1,1,1,15.4,1497.0,117.3,7,1251000,850000
62,Hyundai i20 Active SX Petrol,Jaipur,2017,40250,1,1,1,17.19,1197.0,81.86,5,974000,690000
63,Mercedes-Benz GLC 43 AMG Coupe,Coimbatore,2018,22397,1,2,1,11.5,2996.0,367.0,5,9538000,7098999
64,Audi A6 35 TFSI Matrix,Mumbai,2016,47000,1,2,1,15.26,1798.0,187.74,5,6059000,2450000
65,Mini Cooper Convertible S,Mumbai,2014,11900,1,2,1,16.82,1998.0,189.08,4,4428000,2850000
66,Mahindra Bolero ZLX,Coimbatore,2016,82756,2,1,1,15.96,2523.0,62.1,7,1128000,770000
67,Volkswagen Vento 1.6 Comfortline,Mumbai,2017,15000,1,1,2,16.09,1598.0,103.5,5,1148000,710000
68,Maruti S-Cross Delta DDiS 200 SH,Delhi,2018,12923,2,1,1,25.1,1248.0,88.5,5,1126000,892000
69,Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,86642,2,2,1,15.17,1968.0,181.0,5,4365000,2037000
70,BMW 3 Series Luxury Line,Bangalore,2016,19235,2,2,1,21.76,1995.0,190.0,5,6207000,3650000
71,Mercedes-Benz E-Class E 220 d,Kochi,2018,26405,1,2,1,12.6,1950.0,191.34,5,8697000,5143000
72,Maruti Wagon R LXI,Ahmedabad,2012,30000,1,1,1,22.5,998.0,67.04,5,474000,330000
73,Hyundai Creta 1.6 SX,Chennai,2016,69434,1,1,1,15.8,1591.0,121.3,5,1484000,800000
74,Mercedes-Benz New C-Class Progressive C 200,Kochi,2019,13190,1,2,1,0.0,1950.0,181.43,5,4949000,3899000
75,BMW X1 sDrive 20d xLine,Coimbatore,2017,31645,2,2,1,20.68,1995.0,190.0,5,4818000,2940000
76,Maruti Ertiga ZDI,Pune,2013,105000,2,1,2,25.47,1248.0,88.5,7,1234000,675000
77,Skoda Rapid 1.5 TDI Style,Hyderabad,2017,31000,2,1,1,21.13,1498.0,108.4,5,1538000,1050000
78,Toyota Innova Crysta 2.8 GX AT,Ahmedabad,2016,100200,2,2,1,11.36,2755.0,171.5,7,1921000,1700000
79,Jeep Compass 2.0 Limited,Jaipur,2018,29000,2,1,1,17.1,1956.0,170.0,5,2295000,1900000
80,Mahindra Bolero ZLX,Jaipur,2012,105000,2,1,2,15.96,2523.0,62.1,7,1115000,600000
81,Volkswagen Polo 1.5 TDI Highline,Coimbatore,2018,33558,2,1,1,20.14,1498.0,88.0,5,1032000,811999
82,Toyota Innova Crysta 2.8 ZX AT,Coimbatore,2019,40674,2,2,1,11.36,2755.0,171.5,7,2805000,2482000
83,Mercedes-Benz GLC 220d 4MATIC Style,Mumbai,2018,10003,2,2,1,17.9,2143.0,170.0,5,5977000,4850000
84,Volkswagen Vento 1.5 TDI Highline AT,Mumbai,2016,25000,2,2,1,21.5,1498.0,108.5,5,1586000,944999
85,Toyota Innova Crysta 2.4 GX MT 8S,Hyderabad,2017,52000,2,1,1,13.68,2393.0,147.8,8,1943000,1750000
86,Maruti Vitara Brezza ZDi,Pune,2016,21558,2,1,1,24.3,1248.0,88.5,5,1065000,890000
87,Mini Cooper 5 DOOR D,Mumbai,2016,11000,2,2,1,20.7,1496.0,113.98,5,4212000,2950000
88,Tata Safari Storme VX Varicor 400,Jaipur,2017,37000,2,1,1,14.1,2179.0,154.0,7,1695000,1125000
89,Honda BR-V i-DTEC VX MT,Kochi,2017,32249,2,1,1,21.9,1498.0,98.6,7,1545000,1079000
90,Maruti Ignis 1.2 Alpha,Mumbai,2017,7000,1,1,1,20.89,1197.0,81.8,5,787000,570000
91,Maruti Alto K10 VXI,Bangalore,2011,64357,1,1,1,24.07,998.0,67.1,5,470000,275000
92,Honda BRV i-VTEC V CVT,Mumbai,2017,18000,1,2,1,16.0,1497.0,117.3,7,1502000,925000
93,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,18108,2,1,1,24.3,1248.0,88.5,5,1256000,1131000
94,Nissan Sunny XV CVT,Kochi,2013,37199,1,2,1,17.5,1498.0,99.6,5,1133000,543000
95,Toyota Innova Crysta 2.4 ZX MT,Bangalore,2017,64798,2,1,1,13.68,2393.0,147.8,7,2645000,1875000
96,Maruti Dzire AMT ZXI Plus,Hyderabad,2017,13000,1,2,1,22.0,1197.0,81.8,5,1034000,850000
97,Hyundai Grand i10 1.2 CRDi Magna,Kolkata,2017,14000,2,1,1,24.0,1186.0,73.97,5,746000,490000
98,Honda City i-VTEC V,Delhi,2014,55818,1,1,2,17.4,1497.0,117.3,5,1185000,570000
99,Maruti Ertiga VDI,Ahmedabad,2017,63939,2,1,1,25.47,1248.0,88.5,7,1041000,775000
100,Maruti Celerio VXI AMT,Delhi,2014,35214,1,2,2,23.1,998.0,67.04,5,557000,320000
101,Mini Cooper 5 DOOR D,Hyderabad,2014,60000,2,2,2,20.7,1496.0,113.98,5,4248000,2350000
102,Honda City i-VTEC CVT VX,Bangalore,2015,18955,1,2,1,18.0,1497.0,117.3,5,1604000,1065000
103,Honda Jazz VX,Kochi,2018,20024,1,1,1,18.2,1199.0,88.7,5,910000,846000
104,Ford Figo Titanium Diesel,Kolkata,2015,72035,2,1,1,25.5,1498.0,99.0,5,765000,250000
105,Hyundai Creta 1.6 SX,Ahmedabad,2016,21000,1,1,1,15.8,1591.0,121.3,5,1374000,1090000
106,Maruti Wagon R VXI,Coimbatore,2015,72599,1,1,1,22.5,998.0,67.04,5,572000,432000
107,Mahindra XUV500 W9 AT,Coimbatore,2019,19654,2,2,1,14.0,2179.0,155.0,7,2133000,1763000
108,Mercedes-Benz GLE 250d,Mumbai,2016,21000,2,2,1,17.9,2143.0,201.15,5,7876000,5600000
109,Honda Amaze VX Diesel,Hyderabad,2018,12000,2,1,1,27.4,1498.0,98.6,5,1034000,850000
110,Maruti Alto K10 LXI,Pune,2014,49000,1,1,1,24.07,998.0,67.1,5,429000,229999
111,Volkswagen Ameo 1.5 TDI Highline,Mumbai,2017,51000,2,1,1,21.66,1498.0,108.62,5,1003999,645000
112,Mahindra Xylo H4,Chennai,2016,215000,2,1,1,14.02,2179.0,118.3,7,1167000,750000
113,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43200,2,1,1,13.68,2393.0,147.8,7,2552000,1860000
114,Hyundai Xcent 1.2 CRDi S,Jaipur,2018,25302,2,1,1,25.4,1186.0,73.97,5,856000,590000
115,Toyota Innova Crysta 2.8 ZX AT,Kochi,2018,41736,2,2,1,11.36,2755.0,171.5,7,2700000,1992000
116,Renault KWID 1.0 RXT Optional,Jaipur,2017,63262,1,1,1,21.7,999.0,67.0,5,478000,325000
117,Maruti Celerio VXI Optional AMT,Pune,2017,7500,1,2,1,23.1,998.0,67.04,5,614000,500000
118,Maruti Dzire VXI,Kolkata,2011,46687,1,1,1,22.0,1197.0,81.8,5,730000,270000
119,Datsun redi-GO T Option,Bangalore,2016,20487,1,1,1,22.7,799.0,53.64,5,437000,266000
120,Maruti Eeco 7 Seater Standard,Coimbatore,2012,56661,1,1,1,15.1,1196.0,73.0,7,498000,361000
121,Honda City i-VTEC CVT VX,Mumbai,2015,30000,1,2,1,18.0,1497.0,117.3,5,1529000,865000
122,Jeep Compass 2.0 Limited 4X4,Mumbai,2017,52000,2,1,1,16.3,1956.0,170.0,5,2426000,2000000
123,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,2018,31427,2,2,1,15.68,1999.0,177.0,5,7512000,5972000
124,Maruti Baleno Alpha Diesel,Kolkata,2016,29000,2,1,1,27.39,1248.0,74.0,5,952999,650000
125,Mitsubishi Pajero Sport 4X4,Bangalore,2013,132000,2,1,1,13.5,2477.0,175.56,7,3460000,1249000
126,Toyota Innova Crysta 2.4 ZX MT,Coimbatore,2018,92056,2,1,1,13.68,2393.0,147.8,7,2645000,1839000
127,Honda Jazz VX Diesel,Mumbai,2016,38000,2,1,1,27.3,1498.0,98.6,5,1115000,621000
128,Mercedes-Benz C-Class Progressive C 220d,Mumbai,2018,8682,2,2,1,0.0,1950.0,194.0,5,5226000,3950000
129,BMW 5 Series 520d Luxury Line,Mumbai,2012,61240,2,2,1,22.48,1995.0,190.0,5,7043000,1750000
130,Renault KWID RXT Optional,Hyderabad,2018,1900,1,1,1,25.17,799.0,53.3,5,480000,445000
131,Ford Ecosport Signature Edition Diesel,Coimbatore,2019,23154,2,1,1,23.0,1498.0,98.96,5,1212000,1165000
132,Toyota Innova Crysta 2.4 GX MT,Chennai,2017,67489,2,1,1,13.68,2393.0,147.8,7,1937000,1650000
133,Volkswagen Vento 1.5 TDI Comfortline,Coimbatore,2014,56658,2,1,1,20.64,1498.0,108.5,5,1214000,539000
134,Toyota Fortuner 2.8 4WD MT,Kochi,2013,105072,2,1,1,14.24,2755.0,174.5,7,3669000,1328000
135,Jeep Compass 1.4 Limited Option,Mumbai,2017,4000,1,2,1,16.0,1368.0,160.0,5,2368000,1775000
136,Audi A4 35 TDI Technology,Hyderabad,2015,45000,2,2,1,18.25,1968.0,187.74,5,5561000,2500000
137,Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,18385,1,2,1,14.8,1497.0,121.36,5,1410000,1241000
138,Maruti S-Cross Zeta DDiS 200 SH,Coimbatore,2016,74611,2,1,1,25.1,1248.0,88.5,5,1326000,794000
139,Toyota Innova Crysta 2.8 ZX AT,Bangalore,2016,108000,2,2,1,11.36,2755.0,171.5,7,2805000,2050000
140,Maruti Ertiga VDI,Pune,2016,130000,2,1,1,25.47,1248.0,88.5,7,1127000,700000
141,Maruti Vitara Brezza ZDi Plus,Kochi,2019,34688,2,1,1,24.3,1248.0,88.5,5,1120000,1049000
142,Tata Zest Revotron 1.2 XT,Mumbai,2014,40000,1,1,1,17.57,1193.0,88.7,5,856000,395000
143,Maruti Vitara Brezza VDi,Kolkata,2017,35000,2,1,1,24.3,1248.0,88.5,5,946000,650000
144,Mahindra XUV300 W8 Diesel,Chennai,2012,97000,2,1,1,20.0,1497.0,115.0,5,1279000,725000
145,Hyundai Verna CRDi 1.6 SX Option,Kochi,2014,89614,2,1,1,22.0,1582.0,126.2,5,1557000,601000
146,Tata Hexa XT,Delhi,2017,55000,2,1,1,17.6,2179.0,153.86,7,1986000,1200000
147,Tata Tiago 1.2 Revotron XZ,Coimbatore,2018,9565,1,1,1,23.84,1199.0,84.0,5,659000,588000
148,Mercedes-Benz E-Class E 220 d,Kochi,2018,20446,1,2,1,12.6,1950.0,191.34,5,8697000,5135000
149,Mini Cooper 5 DOOR D,Ahmedabad,2014,34000,2,2,1,20.7,1496.0,113.98,5,4212000,2200000
150,Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,8471,1,1,1,18.9,1197.0,81.86,5,654000,500000
151,Toyota Innova Crysta 2.8 ZX AT,Hyderabad,2016,69000,2,2,1,11.36,2755.0,171.5,7,2656000,1975000
152,Renault Duster 110PS Diesel RxZ AMT,Coimbatore,2017,30090,2,2,1,19.6,1461.0,108.45,5,1505000,1144000
153,Mahindra Bolero ZLX,Mumbai,2016,40448,2,1,1,15.96,2523.0,62.1,7,1101000,350000
154,Maruti Vitara Brezza ZDi,Coimbatore,2018,64456,2,1,1,24.3,1248.0,88.5,5,1100000,1046000
155,Honda Amaze S Petrol,Kochi,2016,51672,1,1,1,19.5,1199.0,88.76,5,755000,568000
156,Hyundai Grand i10 1.2 Kappa Asta,Hyderabad,2017,20000,1,1,1,18.9,1197.0,81.86,5,782000,598000
157,Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,50234,1,1,1,18.9,1197.0,81.86,5,632000,476999
158,Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,2015,40600,1,2,1,17.0,1591.0,121.3,5,1514000,720000
159,Hyundai Verna CRDi 1.6 AT SX Option,Ahmedabad,2013,87000,2,2,1,22.0,1582.0,126.2,5,1572000,590000
160,Volvo S60 D4 Momentum,Hyderabad,2015,51000,2,2,1,27.03,1969.0,190.0,5,4567000,2500000
161,BMW 3 Series 320d Luxury Line,Chennai,2012,65000,2,2,1,22.69,1995.0,190.0,5,5470000,1400000
162,Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,24393,2,1,1,13.68,2393.0,147.8,7,2287000,2039999
163,Volkswagen Polo 1.0 MPI Trendline,Hyderabad,2019,1000,1,1,1,18.78,999.0,75.0,5,674000,568000
164,Mitsubishi Pajero Sport 4X4,Mumbai,2013,59000,2,1,1,13.5,2477.0,175.56,7,3309000,1275000
165,Toyota Corolla Altis 1.8 VL CVT,Delhi,2017,21000,1,2,1,14.28,1798.0,138.03,5,2325000,1800000
166,Toyota Corolla Altis 1.4 DG,Ahmedabad,2012,52000,2,1,1,21.43,1364.0,86.79,5,1927000,650000
167,Jaguar XE 2.0L Diesel Prestige,Delhi,2018,1000,2,2,1,13.6,1999.0,177.0,5,5277000,4000000
168,Mahindra Xylo D4,Chennai,2016,85000,2,1,1,14.95,2489.0,93.7,7,1167000,615000
169,Maruti Swift VDI,Kochi,2017,34613,2,1,1,28.4,1248.0,74.0,5,792000,624000
170,Hyundai Xcent 1.2 VTVT S,Bangalore,2014,54000,1,1,1,20.14,1197.0,81.86,5,785000,550000
171,Honda City i-VTEC CVT VX,Kochi,2018,22974,1,2,1,18.0,1497.0,117.3,5,1555000,1197000
172,Toyota Fortuner 2.8 2WD MT,Ahmedabad,2015,65012,2,1,1,14.24,2755.0,174.5,7,3245000,1889999
173,Maruti Eeco 7 Seater Standard,Hyderabad,2015,90413,1,1,1,15.1,1196.0,73.0,7,483000,295000
174,Maruti Swift LDI,Mumbai,2015,14000,2,1,1,28.4,1248.0,74.0,5,713000,525000
175,BMW 5 Series 520d Luxury Line,Coimbatore,2012,44450,2,2,1,22.48,1995.0,190.0,5,7181999,2468000
176,BMW X1 M Sport sDrive 20d,Mumbai,2016,31000,2,2,1,17.05,1995.0,190.0,5,5097000,2950000
177,Hyundai Verna CRDi 1.4 E,Chennai,2008,121097,2,1,2,24.0,1396.0,88.76,5,1073000,190000
178,Fiat Linea Classic Plus 1.3 Multijet,Jaipur,2013,86000,2,1,2,19.5,1248.0,75.0,5,950000,250000
179,BMW 3 Series 320d Luxury Line,Kochi,2013,37613,2,2,1,22.69,1995.0,190.0,5,5246000,1395000
180,Maruti Ignis 1.2 Delta,Coimbatore,2019,16862,1,1,1,20.89,1197.0,81.8,5,607000,606000
181,Maruti Alto K10 VXI,Kolkata,2018,2100,1,1,1,24.07,998.0,67.1,5,433000,360000
182,Hyundai Grand i10 1.2 Kappa Sportz AT,Coimbatore,2018,20667,1,2,1,18.9,1197.0,81.86,5,863000,755000
183,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2019,18453,1,1,1,18.9,1197.0,81.86,5,668000,617000
184,Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,96578,2,1,1,22.0,1582.0,126.2,5,1407000,250000
185,Renault Duster 110PS Diesel RxZ AMT,Bangalore,2016,45000,2,2,1,19.6,1461.0,108.45,5,1505000,1150000
186,Hyundai Grand i10 1.2 Kappa Magna AT,Bangalore,2018,3000,1,2,1,18.9,1197.0,81.86,5,798000,620000
187,Toyota Innova Crysta 2.8 ZX AT,Kolkata,2016,66618,2,2,1,11.36,2755.0,171.5,7,2482000,1549000
188,Tata Zest Revotron 1.2T XM,Mumbai,2016,43706,1,1,1,17.57,1193.0,88.7,5,763000,400000
189,Toyota Innova Crysta 2.4 VX MT,Kochi,2018,8899,2,1,1,13.68,2393.0,147.8,7,2286000,1992000
190,Ford EcoSport 1.5 Petrol Titanium,Pune,2018,17000,1,1,1,17.0,1497.0,121.36,5,1106000,919999
191,Maruti Alto K10 VXI,Hyderabad,2016,10000,1,1,1,24.07,998.0,67.1,5,453000,350000
192,Toyota Corolla Altis 1.8 G,Mumbai,2010,93000,1,1,1,14.28,1798.0,138.03,5,1939000,450000
193,Hyundai Elantra 2.0 SX Option AT,Delhi,2017,9500,1,2,1,14.62,1999.0,149.92,5,2177000,1635000
194,Hyundai Creta 1.6 SX Automatic Diesel,Chennai,2016,55000,2,2,1,17.6,1582.0,126.2,5,1835000,1250000
195,Volkswagen Ameo 1.5 TDI Comfortline,Jaipur,2016,58095,2,1,1,21.66,1498.0,108.62,5,919000,580000
